theta,eps,lam,spiral_exists,wedge_found,wedge_valid_fraction,kappa_hat,n_orbits_valid,escape_fraction,fail_reason
0.5,0.10526315789473684,1.371578947368421,1,1,0.4,-0.2892833443186182,30,1.0,
0.5,0.21052631578947367,1.371578947368421,1,1,0.4,0.11705699467093561,30,1.0,
0.5,0.3157894736842105,1.371578947368421,1,1,0.4,-0.0953155401715883,30,1.0,
0.5,0.42105263157894735,1.371578947368421,1,1,0.4,0.003930660859948382,30,1.0,
0.5,0.5263157894736842,1.371578947368421,1,1,0.4,-0.022022802778500498,30,1.0,
0.5,0.631578947368421,1.371578947368421,1,1,0.4,0.17255712020068792,30,1.0,
0.5,0.7368421052631579,1.371578947368421,1,1,0.4,-0.027902278898541025,30,1.0,
0.5,0.8421052631578947,1.371578947368421,1,1,0.4,0.1293543934930274,30,1.0,
0.5,0.9473684210526315,1.371578947368421,1,1,0.4,0.1741639630816607,30,1.0,
0.5,1.0526315789473684,1.371578947368421,1,1,0.4,0.14820831213477195,30,1.0,
0.5,1.1578947368421053,1.371578947368421,1,1,0.4,-0.011184627744705772,30,1.0,
0.5,1.263157894736842,1.371578947368421,1,1,0.4,0.0018080365479045766,30,1.0,
0.5,1.3684210526315788,1.371578947368421,1,1,0.4,0.19561881208283277,30,1.0,
0.5,1.4736842105263157,1.371578947368421,1,1,0.4,0.10505753322229698,30,1.0,
0.5,1.5789473684210527,1.371578947368421,1,1,0.4,0.038328765952051494,30,1.0,
0.5,1.6842105263157894,1.371578947368421,1,1,0.4,0.05657178145577291,30,1.0,
0.5,1.789473684210526,1.371578947368421,1,1,0.4,-0.1056462491307855,30,1.0,
0.5,1.894736842105263,1.371578947368421,1,1,0.4,0.14212764280111728,30,1.0,
0.5,2.0,1.371578947368421,1,1,0.4,-0.08297348273135326,30,1.0,
0.5,0.0,1.4763157894736842,1,1,0.4,0.07002028197011764,30,1.0,
0.5,0.10526315789473684,1.4763157894736842,1,1,0.4,0.07578765246733067,30,1.0,
0.5,0.21052631578947367,1.4763157894736842,1,1,0.4,-0.18238852576970516,30,1.0,
0.5,0.3157894736842105,1.4763157894736842,1,1,0.4,-0.1072326297123711,30,1.0,
0.5,0.42105263157894735,1.4763157894736842,1,1,0.4,-0.1694937332450596,30,1.0,
0.5,0.5263157894736842,1.4763157894736842,1,1,0.4,0.034699688149726515,30,1.0,
0.5,0.631578947368421,1.4763157894736842,1,1,0.4,0.13164837102567278,30,1.0,
0.5,0.7368421052631579,1.4763157894736842,1,1,0.4,0.06117448879582403,30,1.0,
0.5,0.8421052631578947,1.4763157894736842,1,1,0.4,-0.12265953512344235,30,1.0,
0.5,0.9473684210526315,1.4763157894736842,1,1,0.4,-0.0067207536686912095,30,1.0,
0.5,1.0526315789473684,1.4763157894736842,1,1,0.4,0.16835590182796703,30,1.0,
0.5,1.1578947368421053,1.4763157894736842,1,1,0.4,0.0176486666357849,30,1.0,
0.5,1.263157894736842,1.4763157894736842,1,1,0.4,0.13920463893159454,30,1.0,
0.5,1.3684210526315788,1.4763157894736842,1,1,0.4,-0.003334874477445491,30,1.0,
0.5,1.4736842105263157,1.4763157894736842,1,1,0.4,0.10857073526262159,30,1.0,
